IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
199.15.78.202,20934,443,true,HKG,Asia Pacific,Hong Kong,68,0.04
23.225.133.85,41698,80,false,HKG,Asia Pacific,Hong Kong,65,0.04
192.151.255.20,41698,443,true,HKG,Asia Pacific,Hong Kong,66,0.04
152.32.130.150,802,443,true,HKG,Asia Pacific,Hong Kong,62,0.03
45.131.133.127,49653,443,true,HKG,Asia Pacific,Hong Kong,201,0.02
165.154.22.101,9005,80,false,HKG,Asia Pacific,Hong Kong,60,0.02
103.218.243.226,34237,2096,true,HKG,Asia Pacific,Hong Kong,64,0.02
103.149.27.36,34237,2096,true,HKG,Asia Pacific,Hong Kong,65,0.01
20.2.218.142,2053,443,true,HKG,Asia Pacific,Hong Kong,125,0.00
141.147.183.96,80,80,false,HKG,Asia Pacific,Hong Kong,1,0.00
132.145.123.238,2086,2086,false,HKG,Asia Pacific,Hong Kong,172,0.00
168.138.209.84,8880,8880,false,NRT,Asia Pacific,Tokyo,101,0.00
141.147.178.135,2086,2086,false,HKG,Asia Pacific,Hong Kong,168,0.00
23.225.133.79,41698,443,true,HKG,Asia Pacific,Hong Kong,67,0.00
47.76.32.108,2087,2087,true,HKG,Asia Pacific,Hong Kong,61,0.00
138.3.210.114,2052,2052,false,HKG,Asia Pacific,Hong Kong,173,0.00
45.39.199.113,12357,443,true,HKG,Asia Pacific,Hong Kong,96,0.00
47.76.77.103,8880,8880,false,HKG,Asia Pacific,Hong Kong,65,0.00
119.13.88.67,26541,443,true,HKG,Asia Pacific,Hong Kong,62,0.00
38.181.35.44,2023,80,false,HKG,Asia Pacific,Hong Kong,62,0.00
45.66.128.148,38892,443,true,HKG,Asia Pacific,Hong Kong,102,0.00
154.23.185.52,34237,2096,true,HKG,Asia Pacific,Hong Kong,61,0.00
47.76.32.108,8080,8080,false,HKG,Asia Pacific,Hong Kong,62,0.00
132.145.124.198,8880,8880,false,SIN,Asia Pacific,Singapore,173,0.00
