IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.222.155.242,2083,2083,true,SIN,Asia Pacific,Singapore,104,7.72
8.219.174.213,2082,2082,false,SIN,Asia Pacific,Singapore,105,7.71
8.222.229.22,80,80,false,HKG,Asia Pacific,Hong Kong,1,7.70
8.222.145.110,80,80,false,HKG,Asia Pacific,Hong Kong,1,7.64
8.222.180.86,2096,2096,true,SIN,Asia Pacific,Singapore,93,7.62
8.219.161.129,8880,8880,false,SIN,Asia Pacific,Singapore,92,7.62
8.219.144.168,443,443,true,HKG,Asia Pacific,Hong Kong,1,7.60
8.219.174.213,2087,2087,true,SIN,Asia Pacific,Singapore,134,7.58
47.236.144.156,8080,8080,false,SIN,Asia Pacific,Singapore,95,7.55
8.219.174.213,2053,2053,true,SIN,Asia Pacific,Singapore,111,7.53
47.236.94.109,2086,2086,false,SIN,Asia Pacific,Singapore,95,7.47
8.219.245.187,80,80,false,HKG,Asia Pacific,Hong Kong,0,7.46
47.236.184.14,2053,2053,true,SIN,Asia Pacific,Singapore,102,7.45
8.222.138.164,80,80,false,HKG,Asia Pacific,Hong Kong,1,7.44
8.222.130.137,8880,8880,false,SIN,Asia Pacific,Singapore,92,7.43
8.219.70.117,80,80,false,HKG,Asia Pacific,Hong Kong,1,7.34
47.236.79.77,80,80,false,HKG,Asia Pacific,Hong Kong,0,7.24
8.219.110.88,2087,2087,true,SIN,Asia Pacific,Singapore,99,7.18
47.236.71.226,2096,2096,true,SIN,Asia Pacific,Singapore,91,7.15
8.219.249.38,80,80,false,HKG,Asia Pacific,Hong Kong,1,7.13
8.222.184.198,2052,2052,false,SIN,Asia Pacific,Singapore,95,7.08
8.222.249.190,2086,2086,false,SIN,Asia Pacific,Singapore,91,7.07
8.219.103.57,80,80,false,HKG,Asia Pacific,Hong Kong,0,7.06
47.236.94.109,80,80,false,HKG,Asia Pacific,Hong Kong,0,7.04
47.236.169.236,8080,8080,false,SIN,Asia Pacific,Singapore,96,7.04
8.219.144.168,443,443,true,HKG,Asia Pacific,Hong Kong,0,6.93
